epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.9223,1.49065,2.42223,1.64503,0.84623,0.64421,0.808,0.45357,1.55549,1.60188,1.85729,0.000193421,0.000193421,0.000193421
2,148.834,1.2089,1.09809,1.38876,0.68715,0.53025,0.64879,0.34768,1.6144,2.52954,1.90261,0.000381711,0.000381711,0.000381711
3,222.58,1.21345,0.93289,1.38952,0.68829,0.54016,0.69341,0.40582,1.56205,1.60434,1.83681,0.000562238,0.000562238,0.000562238
4,294.231,1.16352,0.80709,1.32235,0.66656,0.79803,0.86092,0.49392,1.51028,1.41704,1.73893,0.000553073,0.000553073,0.000553073
5,369.699,1.14181,0.77065,1.30067,0.90023,0.77502,0.88378,0.53661,1.46189,1.20221,1.68993,0.00054143,0.00054143,0.00054143
6,441.874,1.11593,0.71366,1.30449,0.85325,0.88388,0.95039,0.58278,1.36721,0.9249,1.59887,0.000529788,0.000529788,0.000529788
7,514.15,1.08718,0.668,1.26551,0.73044,0.85936,0.90532,0.54823,1.38593,0.9022,1.62129,0.000518146,0.000518146,0.000518146
8,590.214,1.02199,0.6225,1.23061,0.91377,0.91653,0.96162,0.59151,1.35599,0.71244,1.59872,0.000506503,0.000506503,0.000506503
9,667.516,1.00767,0.61174,1.21666,0.83784,0.93433,0.97791,0.61454,1.32408,0.72095,1.55292,0.000494861,0.000494861,0.000494861
10,745.164,1.0042,0.56717,1.21325,0.91558,0.9386,0.95637,0.62108,1.28567,0.64829,1.52006,0.000483218,0.000483218,0.000483218
11,820.553,1.00321,0.56933,1.21466,0.84961,0.94976,0.98534,0.61729,1.35682,0.71456,1.56773,0.000471576,0.000471576,0.000471576
12,892.791,0.92955,0.53048,1.18056,0.92855,0.95442,0.98405,0.64281,1.27513,0.64767,1.5118,0.000459934,0.000459934,0.000459934
13,968.117,0.93973,0.52956,1.17094,0.94951,0.97803,0.98525,0.66134,1.25307,0.57819,1.4893,0.000448291,0.000448291,0.000448291
